mint,sol_amount,is_buy,market_cap,token_amount,total_supply,usd_market_cap,virtual_sol_reserves,virtual_token_reserves
21LVxjfFP6g8M1bkxQvKVagDENpkedDxv6e5XWRhpump,12000000,False,35.403676507,339068375920,1000000000000000,6799.63010993442,33746618861,953873339152774
21LVxjfFP6g8M1bkxQvKVagDENpkedDxv6e5XWRhpump,12000000,False,35.403676512,339068375870,1000000000000000,6799.630110894719,33746618866,953873339152774
21LVxjfFP6g8M1bkxQvKVagDENpkedDxv6e5XWRhpump,12000000,False,35.403676514,339068375849,1000000000000000,6799.63011127884,33746618868,953873339152774
21LVxjfFP6g8M1bkxQvKVagDENpkedDxv6e5XWRhpump,12000000,False,35.403676516,339068375829,1000000000000000,6799.630111662959,33746618870,953873339152774
21LVxjfFP6g8M1bkxQvKVagDENpkedDxv6e5XWRhpump,12000000,False,35.403676518,339068375809,1000000000000000,6799.63011204708,33746618872,953873339152774
21LVxjfFP6g8M1bkxQvKVagDENpkedDxv6e5XWRhpump,12000000,False,35.40367652,339068375789,1000000000000000,6799.630112431199,33746618874,953873339152774
21LVxjfFP6g8M1bkxQvKVagDENpkedDxv6e5XWRhpump,12000000,False,35.403676521,339068375779,1000000000000000,6799.63011262326,33746618875,953873339152774
21LVxjfFP6g8M1bkxQvKVagDENpkedDxv6e5XWRhpump,12000000,False,35.403676522,339068375769,1000000000000000,6799.63011281532,33746618876,953873339152774
21VvwwFw74S5nLHYkhRauLDeRPxn22RaubXXycjbpump,10000000,True,73.135447628,136704426656,1000000000000000,13887.690150080918,48530408737,663295465750925
21cW8f7XNHGx9vQfn816KQxy96ECnHattskVcGrYnYYa,42233630,True,27.958993514,1508432602116,1000000000000000,5338.21063162802,30042233651,1071491566692002
21fFYzikbbJFNx1u9KM2emFsZ4Mwmhw8YG6eixQCpump,283608980,True,37.758161456,7376352857485,1000000000000000,7242.015367260801,35322398078,911319778836202
21kuTe3hVLkvZ7m4cBNSM2uYDoV47wajx3xgoEdppump,92130410,True,28.136712344,3264391020042,1000000000000000,5379.17666592592,30187325549,1066341566162307
21ujgQPnVwntnuiCxWS6xaAzeyWrXR1jUdFArvt1pump,103559701,False,28.321121211,3669209195930,1000000000000000,5422.92828948228,30090096784,1069787187363245
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,500000001,True,44.847845452,11004000669700,1000000000000000,8564.14456751392,38495422693,836203313496591
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,1021178803,True,55.122733798,17902468156346,1000000000000000,10526.23724606608,43364036108,742320201433597
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,303395767,True,60.148832306,4953853389189,1000000000000000,11486.02101715376,44553051123,722509440174902
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,205622268,False,61.664316956,3350003234134,1000000000000000,11775.41796591776,44347428855,725859443409036
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,294955883,False,58.435172637,5082136977365,1000000000000000,11158.78056676152,43075866209,747286192072725
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,246424906,True,52.077951467,4703538302755,1000000000000000,9944.80561213832,41190157752,781497371917351
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,49559231,True,53.290914586,928863773189,1000000000000000,10114.6155884228,41467363907,776273122662775
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,98019801,True,58.823483426,1662592815885,1000000000000000,11164.697154254802,43612706236,738087654884560
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,1278150058,False,62.051660134,21204581746726,1000000000000000,11777.4050934332,43414611594,741455442970426
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,164493726,False,68.620739913,2405562343718,1000000000000000,13024.2164354874,46834459698,687314432220396
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,1149182262,False,64.765601699,18201824666117,1000000000000000,12292.5112024702,44510479628,723200476601849
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,1000000001,True,58.270778252,16773958478002,1000000000000000,11059.7937122296,44309772070,726476318377130
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,66669475,False,120.763796862,561067891579,1000000000000000,22920.968644407603,61813341359,520761366209560
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,96505003,True,114.91484293,838465385036,1000000000000000,21810.837188114,60916804287,528425620377023
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,708021515,False,111.397354403,6431867457132,1000000000000000,21143.2178656894,59174203303,543987046739092
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,10032225,True,100.815278903,99493432564,1000000000000000,19134.739935789403,56977073910,564964079316051
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,19799931,True,100.789553996,196379975707,1000000000000000,19129.8573484408,56979573060,564939299967662
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,565227172,False,97.540763963,5853827585262,1000000000000000,18513.237000177403,55469023105,580323905531539
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,2096204461,False,95.582867733,22792080138405,1000000000000000,18141.6282957234,53372818644,603115985669944
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,980198019,True,85.772944327,11218549116137,1000000000000000,16279.704833264605,53525712469,601393211640491
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,2696431644,False,87.74174848,32374020000000,1000000000000000,16653.383861504,50448717670,638073703836734
